claim_id,date,product_model,plant,failure_code,narrative
C-10104,2026-04-13,Model Y,Plant A - Fremont,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10065,2026-05-18,Titan EV,Plant C - Leipzig,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10220,2026-01-28,Cruiser Pro,Plant C - Leipzig,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10272,2026-05-10,Model Y,Plant D - Yokohama,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-9027,2026-07-18,Model X,Plant C - Leipzig,SUSPENSION,"Left front suspension control arm bushing deteriorated, causing loud mechanical thud."
C-10201,2026-07-18,Model X,Plant C - Leipzig,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10289,2026-01-31,Cruiser Pro,Plant D - Yokohama,BRAKES,Tech notes: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10210,2026-04-24,Apex SUV,Plant C - Leipzig,ELECTRICAL,Customer reports: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10022,2026-04-20,Sedan Alpha,Plant B - Austin,STEERING,Tech notes: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10192,2026-02-27,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Tech notes: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10214,2026-06-06,Titan EV,Plant B - Austin,STEERING,Field complaint: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10110,2026-06-13,Titan EV,Plant D - Yokohama,HVAC,Tech notes: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10091,2026-04-21,Apex SUV,Plant C - Leipzig,BRAKES,Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10170,2026-06-25,Sedan Alpha,Plant B - Austin,HVAC,Field complaint: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10117,2026-01-02,Sedan Alpha,Plant D - Yokohama,POWERTRAIN,Field complaint: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10182,2026-06-21,Model Y,Plant C - Leipzig,ELECTRICAL,Field complaint: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10215,2026-05-30,Model Y,Plant D - Yokohama,ELECTRICAL,Driver stated Left headlight intermittent operation; replaced wiring harness connection pin.
C-10225,2026-06-10,Apex SUV,Plant A - Fremont,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10140,2026-03-10,Model Y,Plant A - Fremont,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10358,2026-04-02,Apex SUV,Plant C - Leipzig,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-9007,2026-05-04,Model X,Plant A - Fremont,RIDE QUALITY,Heavy metallic clunking felt in floorboard around driver-side front strut when going over potholes.
C-10362,2026-04-21,Titan EV,Plant C - Leipzig,ELECTRICAL,Driver stated 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10306,2026-05-10,Sedan Alpha,Plant D - Yokohama,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10181,2026-05-01,Cruiser Pro,Plant C - Leipzig,POWERTRAIN,Driver stated Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10179,2026-01-11,Cruiser Pro,Plant D - Yokohama,ELECTRICAL,Driver stated 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10317,2026-06-19,Sedan Alpha,Plant C - Leipzig,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10199,2026-07-15,Cruiser Pro,Plant C - Leipzig,STEERING,Tech notes: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-9004,2026-03-22,Model X,Plant A - Fremont,OTHER,Loud knocking noise in front driver corner during low speed turns over bumpy parking lots.
C-10276,2026-02-16,Apex SUV,Plant C - Leipzig,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10330,2026-05-09,Model Y,Plant B - Austin,BODY,Driver side door latch requires extra force to shut completely.
C-10163,2026-04-08,Cruiser Pro,Plant C - Leipzig,BODY,Passenger window makes grinding sound when rolling down.
C-10219,2026-04-27,Model Y,Plant D - Yokohama,POWERTRAIN,Field complaint: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10224,2026-06-12,Titan EV,Plant C - Leipzig,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10312,2026-06-15,Model X,Plant B - Austin,ELECTRICAL,Field complaint: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10088,2026-01-28,Sedan Alpha,Plant C - Leipzig,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10239,2026-05-07,Model X,Plant B - Austin,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10261,2026-06-09,Cruiser Pro,Plant C - Leipzig,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10242,2026-06-07,Sedan Alpha,Plant A - Fremont,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10071,2026-02-22,Titan EV,Plant D - Yokohama,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10134,2026-06-28,Apex SUV,Plant A - Fremont,POWERTRAIN,Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10137,2026-01-28,Sedan Alpha,Plant D - Yokohama,BODY,Tech notes: Driver side door latch requires extra force to shut completely.
C-10258,2026-05-03,Cruiser Pro,Plant A - Fremont,STEERING,Field complaint: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10269,2026-05-24,Apex SUV,Plant A - Fremont,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10322,2026-02-27,Model Y,Plant A - Fremont,ELECTRICAL,Driver stated Left headlight intermittent operation; replaced wiring harness connection pin.
C-10233,2026-03-09,Cruiser Pro,Plant C - Leipzig,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10009,2026-06-04,Model X,Plant D - Yokohama,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10041,2026-01-19,Model Y,Plant A - Fremont,BRAKES,Customer reports: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10361,2026-04-05,Model X,Plant D - Yokohama,HVAC,Customer reports: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10177,2026-03-06,Model X,Plant B - Austin,BRAKES,Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10077,2026-02-02,Sedan Alpha,Plant C - Leipzig,BRAKES,Customer reports: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10333,2026-01-22,Sedan Alpha,Plant D - Yokohama,ELECTRICAL,12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-9021,2026-07-06,Model X,Plant A - Fremont,SUSPENSION,Technician reproduced knocking/clunking from front left suspension strut mount over bumps.
C-10357,2026-05-02,Model X,Plant B - Austin,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10147,2026-04-25,Model X,Plant C - Leipzig,BRAKES,Tech notes: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10257,2026-03-19,Apex SUV,Plant A - Fremont,BODY,Customer reports: Passenger window makes grinding sound when rolling down.
C-10090,2026-01-12,Model X,Plant B - Austin,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10255,2026-04-25,Titan EV,Plant A - Fremont,POWERTRAIN,Field complaint: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10286,2026-06-20,Model X,Plant B - Austin,POWERTRAIN,Field complaint: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10206,2026-05-01,Sedan Alpha,Plant D - Yokohama,HVAC,Customer reports: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-9020,2026-07-04,Model X,Plant B - Austin,RIDE QUALITY,Continuous knocking noise from front left corner when driving on gravel or uneven pavement.
C-10320,2026-05-11,Model X,Plant C - Leipzig,POWERTRAIN,Driver stated Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10252,2026-01-04,Model Y,Plant C - Leipzig,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10335,2026-03-31,Cruiser Pro,Plant A - Fremont,BRAKES,Field complaint: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10116,2026-04-10,Titan EV,Plant D - Yokohama,BRAKES,Field complaint: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10008,2026-01-24,Model X,Plant C - Leipzig,STEERING,Driver stated Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10057,2026-01-15,Titan EV,Plant D - Yokohama,BRAKES,Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10347,2026-05-27,Model Y,Plant A - Fremont,BODY,Driver side door latch requires extra force to shut completely.
C-9005,2026-04-10,Model X,Plant A - Fremont,ELECTRICAL-NFF,"Customer suspected sensor issue due to rattle; no electrical fault found, technician heard mechanical tapping from front left suspension."
C-10145,2026-02-18,Model Y,Plant D - Yokohama,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-9011,2026-06-02,Model X,Plant A - Fremont,RIDE QUALITY,Driver hears persistent knocking sound from left front wheel area on uneven asphalt.
C-10236,2026-05-24,Titan EV,Plant B - Austin,POWERTRAIN,Customer reports: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10291,2026-05-24,Model X,Plant D - Yokohama,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10096,2026-05-21,Sedan Alpha,Plant C - Leipzig,BRAKES,Tech notes: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10016,2026-07-06,Model Y,Plant D - Yokohama,HVAC,Field complaint: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10166,2026-06-19,Model Y,Plant B - Austin,BRAKES,Tech notes: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10251,2026-03-06,Model X,Plant A - Fremont,ELECTRICAL,Tech notes: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10229,2026-05-09,Model Y,Plant C - Leipzig,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10318,2026-02-03,Sedan Alpha,Plant D - Yokohama,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10240,2026-02-04,Cruiser Pro,Plant C - Leipzig,STEERING,Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10165,2026-07-09,Model Y,Plant B - Austin,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-9033,2026-07-28,Model X,Plant A - Fremont,SUSPENSION,Front-left strut mount assembly knocking during rebound on undulating pavement.
C-9031,2026-07-26,Model X,Plant C - Leipzig,STEERING,Steering wheel twitch and knocking sound from front-left suspension area on uneven roads.
C-10283,2026-04-24,Cruiser Pro,Plant D - Yokohama,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10234,2026-05-30,Apex SUV,Plant C - Leipzig,STEERING,Customer reports: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10168,2026-04-26,Sedan Alpha,Plant A - Fremont,RIDE QUALITY,Tech notes: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10350,2026-03-06,Sedan Alpha,Plant A - Fremont,BRAKES,Driver stated Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10281,2026-07-18,Model X,Plant B - Austin,BRAKES,Tech notes: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10301,2026-03-07,Model Y,Plant B - Austin,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10207,2026-03-26,Sedan Alpha,Plant D - Yokohama,STEERING,Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10107,2026-04-27,Cruiser Pro,Plant C - Leipzig,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10058,2026-05-16,Model X,Plant A - Fremont,ELECTRICAL,Tech notes: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10015,2026-06-29,Titan EV,Plant B - Austin,BRAKES,Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10265,2026-07-06,Sedan Alpha,Plant D - Yokohama,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10238,2026-01-30,Model X,Plant A - Fremont,ELECTRICAL,Driver stated Left headlight intermittent operation; replaced wiring harness connection pin.
C-10280,2026-03-29,Sedan Alpha,Plant C - Leipzig,ELECTRICAL,Driver stated 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10180,2026-02-16,Apex SUV,Plant D - Yokohama,BODY,Customer reports: Driver side door latch requires extra force to shut completely.
C-9012,2026-06-06,Model X,Plant B - Austin,OTHER,Metallic tapping noise audible inside cabin originating from front left strut assembly.
C-10161,2026-02-08,Model X,Plant B - Austin,POWERTRAIN,Customer reports: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10200,2026-06-28,Titan EV,Plant D - Yokohama,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10314,2026-04-10,Sedan Alpha,Plant A - Fremont,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10033,2026-07-26,Model Y,Plant A - Fremont,POWERTRAIN,Tech notes: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10345,2026-05-28,Apex SUV,Plant B - Austin,HVAC,Driver stated A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10076,2026-01-10,Titan EV,Plant B - Austin,POWERTRAIN,Field complaint: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10174,2026-02-01,Apex SUV,Plant C - Leipzig,BODY,Field complaint: Passenger window makes grinding sound when rolling down.
C-9003,2026-03-05,Model X,Plant B - Austin,SUSPENSION,Intermittent clunk from left front suspension assembly over uneven road surfaces.
C-10103,2026-04-17,Apex SUV,Plant D - Yokohama,ELECTRICAL-NFF,"Field complaint: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10351,2026-03-03,Titan EV,Plant C - Leipzig,ELECTRICAL,Tech notes: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10344,2026-01-29,Titan EV,Plant A - Fremont,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10118,2026-05-18,Cruiser Pro,Plant B - Austin,HVAC,Driver stated A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10092,2026-03-22,Apex SUV,Plant C - Leipzig,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10038,2026-06-21,Cruiser Pro,Plant D - Yokohama,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10136,2026-01-18,Model X,Plant D - Yokohama,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10315,2026-01-17,Model X,Plant D - Yokohama,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10056,2026-02-25,Titan EV,Plant A - Fremont,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10115,2026-04-30,Model X,Plant B - Austin,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10021,2026-03-09,Model Y,Plant C - Leipzig,ELECTRICAL,Left headlight intermittent operation; replaced wiring harness connection pin.
C-10202,2026-06-30,Cruiser Pro,Plant B - Austin,STEERING,Field complaint: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10083,2026-02-26,Cruiser Pro,Plant C - Leipzig,ELECTRICAL-NFF,"Driver stated Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10095,2026-06-23,Titan EV,Plant C - Leipzig,ELECTRICAL,Field complaint: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10267,2026-01-18,Model X,Plant A - Fremont,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10222,2026-01-03,Titan EV,Plant D - Yokohama,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-9006,2026-04-27,Model X,Plant C - Leipzig,STEERING,Steering-side front assembly produces knocking noise when driving across railroad tracks.
C-10148,2026-04-14,Sedan Alpha,Plant C - Leipzig,HVAC,Field complaint: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10356,2026-03-22,Titan EV,Plant D - Yokohama,POWERTRAIN,Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10288,2026-02-24,Sedan Alpha,Plant C - Leipzig,ELECTRICAL,Driver stated Left headlight intermittent operation; replaced wiring harness connection pin.
C-10171,2026-01-30,Apex SUV,Plant B - Austin,HVAC,Driver stated A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10266,2026-06-20,Sedan Alpha,Plant B - Austin,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10212,2026-04-06,Model Y,Plant B - Austin,BODY,Driver side door latch requires extra force to shut completely.
C-10158,2026-05-03,Sedan Alpha,Plant B - Austin,BODY,Customer reports: Passenger window makes grinding sound when rolling down.
C-10014,2026-02-11,Sedan Alpha,Plant B - Austin,POWERTRAIN,Driver stated Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10185,2026-03-24,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10308,2026-06-15,Titan EV,Plant D - Yokohama,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10113,2026-02-08,Cruiser Pro,Plant B - Austin,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10049,2026-04-19,Sedan Alpha,Plant D - Yokohama,ELECTRICAL,Tech notes: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10310,2026-06-04,Titan EV,Plant B - Austin,RIDE QUALITY,Customer reports: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10167,2026-05-22,Model Y,Plant A - Fremont,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10073,2026-01-12,Sedan Alpha,Plant B - Austin,BRAKES,Driver stated Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10123,2026-01-13,Cruiser Pro,Plant C - Leipzig,HVAC,Tech notes: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10064,2026-01-03,Titan EV,Plant A - Fremont,BODY,Customer reports: Passenger window makes grinding sound when rolling down.
C-10208,2026-01-10,Model Y,Plant C - Leipzig,BRAKES,Tech notes: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-9013,2026-06-10,Model X,Plant C - Leipzig,SUSPENSION,Front-left lower control arm / bushing exhibiting excessive play and clunking over bumps.
C-9025,2026-07-14,Model X,Plant B - Austin,RIDE QUALITY,Severe clunking and knocking in front left wheel area during low-speed maneuvers.
